,City_1,City_2,Avg_Price
141,London STNLondon (Stansted) STN,Krakow KRK FR2434,49.081250000000004
142,Bordeaux BOD,Madrid MAD V72464,37.223684210526315
143,Madrid MAD,Rome CIARome (Ciampino) CIA FR9674,82.89
144,Berlin SXFBerlin (Schonefeld) SXF,Turin TRN,24.29813800884141
145,Bari BRI,Bordeaux BOD,29.979999999999997
146,Brussels CRLBrussels (Charleroi) CRL,Zaragoza ZAZ,37.87855208333332
147,Vienna VIE,Malmo MMX W62855,46.97355802552646
148,Brussels BRU,Krakow KRK,53.3928330166216
149,Milan MXPMilan (Malpensa) MXP,Palermo PMO FR1438,49.07
150,Cork ORK,Verona VRN,54.02383677298312
151,Sochi AER,Magnitogor MQF,54.64836365902293
152,Karlsruhe FKBKarlsruhe-Baden Baden FKB,Athens ATH,55.82340909090908
153,Milan MXPMilan (Malpensa) MXP,London LGWLondon (Gatwick) LGW U28192,57.35703279064434
154,London LGWLondon (Gatwick) LGW,Corfu CFU,109.15329421993367
155,Copenhagen CPH,Berlin SXFBerlin (Schonefeld) SXF U24554,67.9252465304665
156,Manchester MAN,Dublin DUB FR561,71.265
157,Bordeaux BOD,Malta MLA V72452,88.66000000000001
158,Copenhagen CPH,Faro FAO,93.45626543209877
159,Zakinthos ZTH,London LGWLondon (Gatwick) LGW U28748,156.53571428571428
160,Rhodes RHO,Athens ATH V74267,165.2151851851852
161,Brussels BRU,Barcelona BCN FR2921,181.89825494593265
162,Ostend OSTOstend-Bruges OST,Palma Mall PMI TB1441,180.62003531073444
163,Palma Mall PMI,London STNLondon (Stansted) STN,35.456339285714286
164,Manchester MAN,Rome CIARome (Ciampino) CIA,78.61250000000001
165,London STNLondon (Stansted) STN,Munich MUC,61.105
166,Alicante ALC,Berlin SXFBerlin (Schonefeld) SXF,55.97
167,Corfu CFU,Naples NAP U24844,86.35541666666666
168,Santorini JTR,Vienna VIE,76.7987012987013
169,Ibiza IBZ,Rome FCORome (Fiumicino) FCO FR6703,205.43118055555556
170,Frankfurt FRA,Berlin TXLBerlin (Tegel) TXL U25544,158.35
171,Frankfurt FRA,Valencia VLC FR2424,63.29999999999999
172,Malaga AGP,Warsaw WMIWarsaw (Modlin) WMI,49.9325
173,Ibiza IBZ,Bordeaux BOD,23.253560606060606
174,Duesseldor DUS,Copenhagen CPH,50.20458213617029
175,Milan MXPMilan (Malpensa) MXP,Krakow KRK,39.99320152369836
176,Bordeaux BOD,London SENLondon (Southend) SEN U27394,43.748673469387754
177,Turin TRN,Krakow KRK,39.35272809059937
178,Berlin SXFBerlin (Schonefeld) SXF,Geneva GVA U21592,38.06174382637798
179,Palma Mall PMI,Milan MXPMilan (Malpensa) MXP U22742,46.88302225048703
180,Kefalonia EFL,Milan BGYMilan (Bergamo) BGY,51.29573891625617
181,Malaga AGP,Copenhagen CPH,52.23861111111111
182,Hamburg HAM,Manchester MAN FR3502,55.97644732441471
183,Bologna BLQ,Dublin DUB,55.9204846262112
184,Poznan POZ,London STNLondon (Stansted) STN FR2337,59.49119839070324
185,London STNLondon (Stansted) STN,Corfu CFU,113.67338515661493
186,Athens ATH,Gdansk GDN,67.96969320446394
187,Bristol BRS,Bordeaux BOD U26121,68.42849523809525
188,Oslo OSLOslo (Gardermoen) OSL,Hamburg HAM,74.64652173913043
189,Dublin DUB,Zadar ZAD,75.86033273876302
190,Warsaw WMIWarsaw (Modlin) WMI,Paris BVAParis (Beauvais) BVA FR4056,78.48811599185129
191,Liege LGG,Heraklion HER,79.98
192,Split SPU,Nice NCE V72875,83.63285714285715
193,Samara KUF,Prague PRG OK911,333.61865768463076
194,St Petersb LED,Riga RIX BT447,392.7523545980763
195,Milan BGYMilan (Bergamo) BGY,Madrid MAD,99.04128310502281
196,Timisoara TSR,Brussels CRLBrussels (Charleroi) CRL,37.13551956300813
197,Antalya AYT,Moscow VKOMoscow (Vnukovo) VKO,226.67225
198,Budapest BUD,Faro FAO,215.83484848484846
199,Dubrovnik DBV,Amsterdam AMS U27992,111.4004347826087
200,Rhodes RHO,Athens ATH OA205,100.90190476190476
201,Bilbao BIO,Nantes NTE U27740,62.144999999999996
202,Szczecin SZZ,Krakow KRK,20.267727272727267
203,Krakow KRK,Berlin TXLBerlin (Tegel) TXL,21.6719540343409
204,Frankfurt FRA,London STNLondon (Stansted) STN,35.5304
205,Cologne CGNCologne-Bonn CGN,Zadar ZAD FR5282,34.84
206,Stuttgart STR,Milan BGYMilan (Bergamo) BGY OE2308,54.8506357899844
207,Rome CIARome (Ciampino) CIA,Athens ATH,71.3391604694825
208,Gdansk GDN,Stockholm NYOStockholm (Skavsta) NYO W61733,52.22925134408602
209,Pula PUY,Milan MXPMilan (Malpensa) MXP U22580,59.29036187262028
210,Warsaw WMIWarsaw (Modlin) WMI,Manchester MAN FR2665,59.01616558441558
211,London STNLondon (Stansted) STN,Athens ATH,100.11665681169931
212,London SENLondon (Southend) SEN,Venice VCEVenice (Marco Polo) VCE FR2182,61.67993799153055
213,Krakow KRK,Paris BVAParis (Beauvais) BVA FR3699,79.6784632034632
214,Split SPU,Copenhagen CPH,92.42317897115844
215,Warsaw WAW,Split SPU,95.30287495449251
216,Oslo TRFOslo (Torp) TRF,Krakow KRK FR8505,99.46222250423011
217,Dubrovnik DBV,Manchester MAN LS962,117.58833333333332
218,Corfu CFU,Manchester MAN MT1407,156.64693488943487
219,Zadar ZAD,Oslo OSLOslo (Gardermoen) OSL,129.63639887640448
220,Riga RIX,Warsaw WAW,225.18791303920653
221,Geneva GVA,Venice VCEVenice (Marco Polo) VCE,48.678107111832915
222,Alicante ALC,Aalborg AAL,404.28747697259183
223,Budapest BUD,Milan MXPMilan (Malpensa) MXP,129.11385358214795
224,Pisa PSA,Nantes NTE,207.3564705882353
225,Bratislava BTS,London STNLondon (Stansted) STN,53.74458333333334
226,Antalya AYT,Ostend OSTOstend-Bruges OST,157.96
227,Palma Mall PMI,Munich MUC OE281,76.31729729729732
228,Thessaloni SKG,Malta MLA FR8293,83.38984455958551
229,Alicante ALC,Warsaw WMIWarsaw (Modlin) WMI,60.07568965517242
230,Manchester MAN,Milan BGYMilan (Bergamo) BGY FR3216,65.795
231,Athens ATH,Madrid MAD FR8760,71.83969072164949
232,Krakow KRK,Prague PRG FR4070,293.44
233,Newcastle NCL,Rhodes RHO,131.8594736842105
234,Liverpool LPL,Katowice KTW,65.47565217391306
235,Rome FCORome (Fiumicino) FCO,Paris CDGParis (Charles de Gaulle) CDG,192.32000000000002
236,Manchester MAN,Innsbruck INN,73.69533251231526
237,Paris BVAParis (Beauvais) BVA,Barcelona GROBarcelona (Girona) GRO,42.890006901311246
238,Paris BVAParis (Beauvais) BVA,Venice TSFVenice (Treviso) TSF,28.980000000000004
239,Venice VCEVenice (Marco Polo) VCE,Bristol BRS,31.929424657534252
240,Berlin SXFBerlin (Schonefeld) SXF,Toulouse TLS,49.99535522053517
241,Barcelona BCN,Brussels BRU,126.16377215319679
242,Naples NAP,Warsaw WMIWarsaw (Modlin) WMI,47.595
243,Porto OPO,Milan MXPMilan (Malpensa) MXP,46.28492453893849
244,London LTNLondon (Luton) LTN,Gdansk GDN W61602,55.630071644042225
245,Milan MXPMilan (Malpensa) MXP,London LGWLondon (Gatwick) LGW U28184,59.06224647756767
246,Dublin DUB,Barcelona REUBarcelona (Reus) REU,62.22931330472103
247,Copenhagen CPH,Nantes NTE U27724,72.70074743821581
248,Oslo OSLOslo (Gardermoen) OSL,Billund BLL,84.80280834332183
249,Milan MXPMilan (Malpensa) MXP,Berlin TXLBerlin (Tegel) TXL U25884,103.40273956121727
250,Faro FAO,Paris ORYParis (Orly) ORY U24278,118.98967645998556
251,Genova GOA,Cagliari CAG V71801,125.05102496367718
252,Kefalonia EFL,London STNLondon (Stansted) STN LS1436,178.0075
253,Kazan KZN,Prague PRG OK907,339.2370521191742
254,Bergen BGO,Alicante ALC DY5335,460.22606593565666
255,Manchester MAN,Katowice KTW,82.12143110795454
256,Barcelona BCN,Cork ORK,459.45376141205105
257,Cologne CGNCologne-Bonn CGN,Palma Mall PMI,94.08241117373194
258,Paris CDGParis (Charles de Gaulle) CDG,London STNLondon (Stansted) STN,61.026428571428575
259,Cologne CGNCologne-Bonn CGN,Lisbon LIS,221.73305986696232
260,Stuttgart STR,Naples NAP,40.986811594202905
261,Palermo PMO,Rome FCORome (Fiumicino) FCO FR4903,131.9668888888889
262,Nantes NTE,Bristol BRS U26024,57.448
263,Stockholm NYOStockholm (Skavsta) NYO,Naples NAP,46.843333333333334
264,Lisbon LIS,Porto OPO,33.40834488828136
265,Rome CIARome (Ciampino) CIA,Brussels CRLBrussels (Charleroi) CRL,51.10347497611036
266,Pisa PSA,Stockholm NYOStockholm (Skavsta) NYO FR1637,38.2825
267,Dusseldorf NRNDusseldorf (Weeze) NRN,Beziers BZR,39.97999999999999
268,Porto OPO,Bilbao BIO,42.75
269,Vienna VIE,Billund BLL W62833,44.927821054345216
270,Milan MXPMilan (Malpensa) MXP,Athens ATH,62.30424517308731
271,Berlin SXFBerlin (Schonefeld) SXF,Budapest BUD W62316,57.983264339826846
272,Manchester MAN,Thessaloni SKG,79.69278022704539
273,Dublin DUB,Biarritz BIQ,52.75345507055641
274,Venice VCEVenice (Marco Polo) VCE,Nice NCE U23353,51.60976588628763
275,Dublin DUB,London LGWLondon (Gatwick) LGW FR118,53.89217181467181
276,Cologne CGNCologne-Bonn CGN,Berlin TXLBerlin (Tegel) TXL EW8059,85.09833333333333
277,Poitiers PIS,Manchester MAN FR5171,53.924285714285716
278,Vienna VIE,Berlin TXLBerlin (Tegel) TXL U25844,74.67290282271352
279,Ostend OSTOstend-Bruges OST,Rhodes RHO,166.94862554112555
280,Porto OPO,Paris BVAParis (Beauvais) BVA FR9135,82.71598930481284
281,Marseille MRS,Malta MLA FR7796,88.90774193548388
282,Copenhagen CPH,Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1074,210.87839482325694
283,Dublin DUB,Barcelona BCN EI564,256.237821969697
284,Copenhagen CPH,Prague PRG OK509,378.69076923076926
285,Madeira FNCMadeira (Funchal) FNC,Prague PRG QS1171,595.534160286435
286,Luxembourg LUX,Porto OPO,52.04204302297349
287,Antalya AYT,Kazan KZN,366.4627916988824
288,London LGWLondon (Gatwick) LGW,Bergen BGO,139.49516231589638
289,Milan BGYMilan (Bergamo) BGY,Santander SDR,202.81695652173912
290,Paris BVAParis (Beauvais) BVA,Barcelona BCN,71.83874999999998
291,Cologne CGNCologne-Bonn CGN,Nice NCE,218.3228125
292,London LTNLondon (Luton) LTN,Nice NCE,81.74169850283945
293,Tivat TIV,Moscow VKOMoscow (Vnukovo) VKO,203.25181623931627
294,Milan BGYMilan (Bergamo) BGY,Zakinthos ZTH,136.13833333333335
295,Vienna VIE,Tel Aviv-Y TLVTel Aviv-Yafo (Ben Gurion) TLV W62811,321.6424516129032
296,Thessaloni SKG,Budapest BUD FR5251,91.14176470588238
297,Kristiansa KRS,Copenhagen CPH,93.27333333333334
298,Naples NAP,Granada GRX,27.605448028673848
299,Nuernberg NUE,London STNLondon (Stansted) STN,30.695877507618093
300,Bologna BLQ,London STNLondon (Stansted) STN,47.74700757575758
301,Dublin DUB,Newcastle NCL,32.55001137724551
302,Newcastle NCL,Dublin DUB,53.610007584830335
303,Brussels CRLBrussels (Charleroi) CRL,Bologna BLQ,39.54060173044982
304,Rome CIARome (Ciampino) CIA,Poznan POZ,49.3862475875379
305,Pula PUY,London LGWLondon (Gatwick) LGW,42.23307810894143
306,Zadar ZAD,Nuernberg NUE,42.93253188858519
307,Berlin SXFBerlin (Schonefeld) SXF,Milan BGYMilan (Bergamo) BGY FR4732,71.63487795776204
308,Palermo PMO,Athens ATH,80.31669913217333
309,Berlin TXLBerlin (Tegel) TXL,Preveza PVKPreveza-Lefkas PVK,53.42817204301076
310,Krakow KRK,Alicante ALC,54.10923076923076
311,Beziers BZR,Bristol BRS FR6023,55.61333333333334
312,Zadar ZAD,Marseille MRS,55.547337354296545
313,Brussels CRLBrussels (Charleroi) CRL,Sofia SOF W64328,65.95071428571428
314,Berlin TXLBerlin (Tegel) TXL,Milan MXPMilan (Malpensa) MXP FR8,54.97697546899117
315,London STNLondon (Stansted) STN,Stockholm NYOStockholm (Skavsta) NYO FR52,52.20029411764705
316,London LGWLondon (Gatwick) LGW,Milan MXPMilan (Malpensa) MXP U28189,66.8137101200686
317,Billund BLL,Edinburgh EDI FR2321,70.5698167723749
318,Manchester MAN,Dublin DUB FR555,71.24
319,Birmingham BHX,Dublin DUB FR671,74.54055555555556
320,Corfu CFU,Birmingham BHX FR8061,104.04432361660079
321,Pisa PSA,Budapest BUD FR5024,127.07929613935971
322,Birmingham BHX,Barcelona GROBarcelona (Girona) GRO FR8046,194.5078125
323,Moscow VKOMoscow (Vnukovo) VKO,Barcelona GROBarcelona (Girona) GRO DP831,199.7097691251963
324,London LGWLondon (Gatwick) LGW,Porto OPO,104.10019470954676
325,Basel-Mulh BSLBasel-Mulhouse-Freiburg (BSL) BSL,Thessaloni SKG,76.7091825457317
326,Mikonos JMK,Athens ATH V74113,138.70499999999998
327,Bilbao BIO,Milan MXPMilan (Malpensa) MXP,25.639999999999993
328,Cagliari CAG,Milan MXPMilan (Malpensa) MXP U22876,44.26
329,Frankfurt FRA,Porto OPO,52.02
330,Toulouse TLS,Venice VCEVenice (Marco Polo) VCE,27.134107142857147
331,Brussels CRLBrussels (Charleroi) CRL,Krakow KRK,50.00489224765644
332,Milan MXPMilan (Malpensa) MXP,Berlin SXFBerlin (Schonefeld) SXF U24672,39.05034339969079
333,Krakow KRK,Goteborg GOTGoteborg (Landvetter) GOT FR4010,47.347142857142856
334,Bristol BRS,Lisbon LIS,52.48824857766778
335,London STNLondon (Stansted) STN,Turin TRN FR464,51.53378571428572
336,Madrid MAD,Milan MXPMilan (Malpensa) MXP U22704,53.67166127098321
337,Sevilla SVQ,Copenhagen CPH FR4471,48.82692307692308
338,Porto OPO,Naples NAP,48.68443974321565
339,Dublin DUB,Stuttgart STR,49.17683702534096
340,Stuttgart STR,Rijeka RJK,80.64176049572741
341,Faro FAO,Porto OPO FR5451,63.448203125000006
342,Vienna VIE,Faro FAO,88.45706217120214
343,Zadar ZAD,Stockholm NYOStockholm (Skavsta) NYO FR5112,67.74186213453353
344,Porto OPO,London STNLondon (Stansted) STN FR8348,66.77444444444444
345,Pula PUY,Liverpool LPL U27086,83.50505882352941
346,Pula PUY,London LGWLondon (Gatwick) LGW U28910,96.87777257575675
347,Geneva GVA,London LGWLondon (Gatwick) LGW,65.00419387755102
348,London STNLondon (Stansted) STN,Malaga AGP,69.69449999999999
349,Chania CHQ,Vienna VIE,76.67361963190184
350,Palma Mall PMI,Manchester MAN FR3442,77.26741935483871
351,Brussels BRU,Stuttgart STR EW2161,209.96
352,Sevilla SVQ,Milan MXPMilan (Malpensa) MXP FR8733,44.28
353,Brussels BRU,Milan MXPMilan (Malpensa) MXP,30.39190909090909
354,Milan MXPMilan (Malpensa) MXP,Copenhagen CPH,47.520817365578
355,Krakow KRK,Stuttgart STR,40.0250263934526
356,Marseille MRS,London STNLondon (Stansted) STN,31.86911666666667
357,Milan MXPMilan (Malpensa) MXP,Toulouse TLS U22771,39.566529411764705
358,Bari BRI,London LTNLondon (Luton) LTN,34.880874999999996
359,Brussels CRLBrussels (Charleroi) CRL,Carcassonn CCF,36.46606155689928
360,Marseille MRS,Porto OPO,67.52378302040592
361,Terceira L TERTerceira Lajes (Azores) TER,Porto OPO,43.5784
362,Naples NAP,Athens ATH,62.07017599058045
363,Athens ATH,Milan MXPMilan (Malpensa) MXP,47.34357948717948
364,Dubrovnik DBV,Hanover HAJ,49.980000000000004
365,Dublin DUB,Berlin SXFBerlin (Schonefeld) SXF,50.805773429334586
366,Bristol BRS,Athens ATH,71.77379526091588
367,Barcelona BCN,Geneva GVA U21404,58.158105988295304
368,Barcelona BCN,Vienna VIE OE323,62.491394736842096
369,Berlin SXFBerlin (Schonefeld) SXF,Corfu CFU,96.1333644859813
370,Dusseldorf NRNDusseldorf (Weeze) NRN,London STNLondon (Stansted) STN FR2296,59.73502224961351
371,London STNLondon (Stansted) STN,Rzeszow RZERzeszow-Jasionka RZE FR2136,63.13111111111112
372,Vienna VIE,Bristol BRS U26082,71.61909090909091
373,East Midla EMA,Corfu CFU,86.11734343434341
374,Warsaw WAW,London LTNLondon (Luton) LTN W61309,85.24166666666667
375,Vienna VIE,London LGWLondon (Gatwick) LGW U28956,85.58214858490567
376,St Petersb LED,Barcelona BCN,209.97999999999996
377,Corfu CFU,Palermo PMO V71535,240.30677839233036
378,Brussels BRU,Alicante ALC TB1111,302.65320137848363
379,Manchester MAN,Corfu CFU,114.81428958126173
380,Nuernberg NUE,Palma Mall PMI,69.65664492753623
381,Budapest BUD,Venice TSFVenice (Treviso) TSF,80.68808333333334
382,Budapest BUD,Rhodes RHO,241.4560346464167
383,Budapest BUD,Pisa PSA,128.87113113330437
384,Bratislava BTS,Brussels CRLBrussels (Charleroi) CRL,43.122093023255815
385,Barcelona BCN,Vienna VIE VY8714,57.51649999999999
386,Madrid MAD,Rome CIARome (Ciampino) CIA FR9602,82.02
387,Bari BRI,Valencia VLC,83.47571428571429
388,Nantes NTE,Lisbon LIS,46.65858940901089
389,Toulouse TLS,Lyon LYS,30.29251109299366
390,Pisa PSA,Manchester MAN,32.96928571428572
391,Milan BGYMilan (Bergamo) BGY,Gdansk GDN,91.0598851532011
392,East Midla EMA,Dublin DUB,51.25928375485318
393,Rome CIARome (Ciampino) CIA,Billund BLL,64.91799282141181
394,London STNLondon (Stansted) STN,Vienna VIE,57.551853172283984
395,Naples NAP,Mikonos JMK,79.5120601720552
396,Vienna VIE,Oslo TRFOslo (Torp) TRF OE192,46.927014170040486
397,Dubrovnik DBV,London STNLondon (Stansted) STN,50.73019649159419
398,Athens ATH,Warsaw WMIWarsaw (Modlin) WMI,57.631515724105725
399,Paris ORYParis (Orly) ORY,Milan MXPMilan (Malpensa) MXP U24297,58.906000000000006
